PCI,Latitude,Longitude,Time
5,19.10625212,72.84772404,2024:10:04 11:31:51
5,19.10620913,72.84770564,2024:10:04 11:31:52
5,19.10616126,72.8476765,2024:10:04 11:31:53
7,19.10610111,72.84764636,2024:10:04 11:31:54
5,19.10605059,72.84762232,2024:10:04 11:31:55
5,19.10600582,72.84758986,2024:10:04 11:31:56
5,19.1059779,72.84754071,2024:10:04 11:31:56
5,19.10596028,72.84745983,2024:10:04 11:31:56
5,19.1059449,72.84740783,2024:10:04 11:31:56
5,19.10593515,72.84735033,2024:10:04 11:31:56
5,19.10591997,72.84725829,2024:10:04 11:31:56
5,19.1059061,72.84715057,2024:10:04 11:31:57
5,19.10589819,72.84708906,2024:10:04 11:31:57
5,19.10588776,72.84700803,2024:10:04 11:31:57
5,19.10587694,72.84692404,2024:10:04 11:31:57
5,19.10586761,72.84685154,2024:10:04 11:31:57
5,19.10585842,72.84678018,2024:10:04 11:31:57
5,19.10586435,72.84671177,2024:10:04 11:31:58
5,19.10585273,72.84663935,2024:10:04 11:31:58
5,19.1058371,72.84659653,2024:10:04 11:31:58
5,19.10581565,72.84655613,2024:10:04 11:31:58
5,19.10580079,72.84648377,2024:10:04 11:31:58
5,19.10578426,72.84641321,2024:10:04 11:31:58
5,19.10578676,72.84635939,2024:10:04 11:31:59
5,19.10578074,72.84631375,2024:10:04 11:31:59
5,19.10578239,72.84626093,2024:10:04 11:31:59
5,19.10579219,72.84621944,2024:10:04 11:31:59
5,19.10577987,72.8461792,2024:10:04 11:31:59
5,19.10577842,72.84613062,2024:10:04 11:31:59
5,19.1058094,72.84608607,2024:10:04 11:31:59
5,19.10583755,72.84604145,2024:10:04 11:32:00
5,19.10586167,72.84599287,2024:10:04 11:32:01
5,19.10582777,72.8459112,2024:10:04 11:32:02
5,19.10583497,72.84586483,2024:10:04 11:32:03
7,19.10587238,72.84580788,2024:10:04 11:32:04
5,19.1058799,72.84574851,2024:10:04 11:32:04
5,19.10588793,72.84568795,2024:10:04 11:32:04
5,19.10589941,72.84562144,2024:10:04 11:32:05
5,19.10590788,72.84555748,2024:10:04 11:32:05
5,19.10592191,72.84549878,2024:10:04 11:32:05
5,19.10593459,72.84544624,2024:10:04 11:32:05
5,19.10591065,72.84538443,2024:10:04 11:32:05
5,19.10591914,72.84533173,2024:10:04 11:32:06
5,19.10592871,72.84527234,2024:10:04 11:32:06
5,19.10593864,72.84521075,2024:10:04 11:32:06
5,19.10595039,72.84513917,2024:10:04 11:32:06
5,19.10595794,72.8450764,2024:10:04 11:32:06
5,19.10596575,72.8450147,2024:10:04 11:32:07
5,19.10597437,72.84495096,2024:10:04 11:32:07
5,19.10598344,72.84487929,2024:10:04 11:32:07
5,19.10599329,72.84480804,2024:10:04 11:32:07
5,19.10600218,72.84473517,2024:10:04 11:32:07
5,19.10601177,72.84466399,2024:10:04 11:32:07
5,19.1060223,72.84458814,2024:10:04 11:32:08
5,19.10604494,72.8445119,2024:10:04 11:32:08
5,19.10604475,72.84442644,2024:10:04 11:32:08
